iter	Passed	Remaining
789	540	143
790	540	142
791	541	142
792	541	141
793	542	140
794	543	140
795	543	139
796	544	138
797	544	137
798	545	137
799	546	136
800	546	135
801	547	135
802	547	134
803	548	133
804	548	132
805	549	132
806	550	131
807	550	130
808	551	130
809	552	129
810	552	128
811	553	128
812	553	127
813	554	126
814	555	126
815	555	125
816	556	124
817	556	123
818	557	123
819	558	122
820	558	121
821	559	121
822	559	120
823	560	119
824	560	118
825	561	118
826	561	117
827	562	116
828	563	116
829	563	115
830	564	114
831	564	114
832	565	113
833	566	112
834	567	112
835	567	111
836	568	110
837	568	109
838	569	109
839	570	108
840	570	107
841	571	107
842	571	106
843	572	105
844	572	105
845	573	104
846	574	103
847	574	103
848	575	102
849	575	101
850	576	100
851	577	100
852	578	99
853	578	98
854	579	98
855	580	97
856	580	96
857	581	96
858	582	95
859	582	94
860	583	94
861	584	93
862	584	92
863	585	92
864	586	91
865	586	90
866	587	90
867	587	89
868	587	88
869	588	87
870	588	87
871	589	86
872	589	85
873	590	85
874	590	84
875	591	83
876	591	82
877	592	82
878	592	81
879	593	80
880	594	80
881	594	79
882	595	78
883	596	78
884	596	77
885	597	76
886	598	76
887	598	75
888	599	74
889	599	74
890	600	73
891	600	72
892	601	72
893	601	71
894	602	70
895	602	69
896	603	69
897	603	68
898	604	67
899	604	67
900	605	66
901	605	65
902	606	65
903	606	64
904	607	63
905	607	63
906	608	62
907	608	61
908	609	61
909	609	60
910	610	59
911	611	58
912	611	58
913	612	57
914	613	56
915	613	56
916	614	55
917	614	54
918	615	54
919	615	53
920	616	52
921	616	52
922	616	51
923	617	50
924	617	50
925	618	49
926	618	48
927	619	48
928	619	47
929	620	46
930	620	45
931	621	45
932	621	44
933	621	43
934	622	43
935	622	42
936	623	41
937	623	41
938	624	40
939	624	39
940	624	39
941	625	38
942	625	37
943	626	37
944	627	36
945	627	35
946	628	35
947	628	34
948	629	33
949	629	33
950	630	32
951	630	31
952	631	31
953	631	30
954	632	29
955	632	29
956	632	28
957	633	27
958	633	27
959	634	26
960	634	25
961	635	25
962	635	24
963	636	23
964	636	23
965	636	22
966	637	21
967	637	21
968	638	20
969	638	19
970	639	19
971	639	18
972	639	17
973	640	17
974	640	16
975	641	15
976	641	15
977	642	14
978	643	13
979	643	13
980	643	12
981	644	11
982	644	11
983	645	10
984	645	9
985	646	9
986	646	8
987	647	7
988	647	7
989	647	6
990	648	5
991	648	5
992	649	4
993	649	3
994	650	3
995	650	2
996	650	1
997	651	1
998	651	0
999	652	0
1461	142
911	1461	141
912	1462	139
913	1463	137
914	926	1461	915	927	1463	113
928	1466	112
929	1467	110
930	1468	108
931	1469	107
932	1471	105
933	1471	104
934	1472	102
935	1473	100
936	1474	99
937	1475	97
938	1476	95
939	1477	94
940	1477	92
941	1478	91
942	1479	89
943	1480	87
944	1482	86
945	1484	84
946	1484	83
947	1485	81
948	1487	79
949	1488	78
950	1489	76
951	1492	75
952	1493	73
953	1494	72
954	1494	70
955	1495	68
956	1496	67
957	1497	65
958	1497	64
959	1498	62
960	1499	60
961	1499	59
962	1500	57
963	1500	56
964	1501	54
965	1502	52
966	1503	51
967	1503	49
968	1504	48
969	1505	46
970	1505	44
971	1506	43
972	1507	41
973	1507	40
974	1508	38
975	1509	37
976	1509	35
977	1510	33
978	1511	32
979	1512	30
980	1512	29
981	1513	27
982	1514	26
983	1514	24
984	1515	23
985	1516	21
986	1516	19
987	1517	18
988	1518	16
989	1519	15
990	1519	13
991	1520	12
992	1520	10
993	1521	9
994	1522	7
995	1522	6
996	1523	4
997	1524	3
998	1524	1
999	1525	0
19
987	1512	18
988	1513	16
989	1514	15
990	1514	13
991	1515	12
992	1516	10
993	1516	9
994	1517	7
995	1518	6
996	1518	4
997	1519	3
998	1520	1
999	1520	0
